"","layers","mean","sd"
"1","NDVI",0.271011453967655,0.145977492853061
"2","POP",212.805181098529,316.926366024757
"3","BUP",29.4074679781518,16.9383775107004
"4","DT_LT",138.830988341629,245.006135976874
"5","DT_MT",255.677150212397,319.953772433422
"6","DT_HT",385.473916143512,481.873478053171
"7","DT_NT",240.237940987607,275.667518504777
"8","DT_PS",1057.1600567315,1073.05725931283
