"","NDVI","POP","BUP","DT_LT","DT_MT","DT_HT","DT_NT","DT_PS"
"intercept",-0.363103499095043,-0.0240979827401505,-0.0674812660406167,-0.000621450536328449,-0.000276891100344917,0.00394913088030968,-0.0797253332515622,-0.0635865753855985
"coefficient",0.489053060795577,-0.127064577205949,-0.142316779993956,-0.0769524165115409,0.00805768310010321,-0.0354307795867872,-0.224821876179801,-0.356849582476879
"coefficient2",-0.089782465808003,-0.00742514161693495,-0.0209498105984354,0.00166278105293056,-0.00162556529590492,-0.00682231065942296,0.0401022911156989,0.0331366866465946
"interaction",0.120925272872914,-0.0391515128226158,-0.0441827748764827,0.205897352520487,0.047304842938715,0.0612083500326146,0.113086668440652,0.185963982535576
